robotId,timestamp,avenue,street,sirens
0,2024-05-14 03:07:57,2,12,0
1,2024-05-14 03:07:57,5,12,0
2,2024-05-14 03:07:53,8,14,0
3,2024-05-14 03:07:53,9,14,0
4,2024-05-14 03:07:54,10,14,0
5,2024-05-14 03:07:54,11,14,0
6,2024-05-14 03:07:54,12,14,0
7,2024-05-14 03:07:55,8,16,0
8,2024-05-14 03:07:55,9,16,0
